Hello (formal)	Здрaвствуйтуе [zdrA-stvooy-tye]
Drizzle	морось [moros']
Train	поезд [poyezd] 
Take the train	садиться на поезд [sadit'sya na poyezd] 
Dining room	столовая [stolovaya] 
Grass	трава [trava] 
January	январь [yanvar'] 
February	февраль [fevral'] 
March	март [mart] 
April	апрель [aprel'] 
May	май [may] 
June	июнь [iyun'] 
July	июль [iyul'] 
August	август [avgust] 
September	сентябрь [sentyabr'] 
October	октябрь [oktyabr'] 
November	ноябрь [noyabr'] 
December	декабрь [dekabr'] 
Plate	тарелка [tarelka] 
Satisfied	довольный [dovol'niy]
Clock	часы [chasy] 
Mushroom	гриб [grib] 
Younger brother	младший брат [mladshiy brat] 
Explain	объяснять [ob'yasnyat] 
That's true	Правда [pravda] 
Yes, you're right	Да, ты прав [da, tu prav] 
You're wrong	Вы не правы [vu ne pravu] 
Exactly 	Точно [tochno] 
Absolutely 	Абсолютно [Absalyutna] 
Maybe	Может быть [Mozhet but'] 
What do you think? 	Что вы думаете? [Chto vu dumaete?] 
I don't think so	Я так не думаю [Ya tak ne dumayu] 
I guess so	Полагаю, что так [Polagayu, chto tak] 
Wake up	просыпаться [prosypatsa] 
Time to wake up	пора просыпаться [pora prosypat'sya] 
The wife is hugging the husband	Жена обнимает мужа [Zhena obnimayet muzha] 
Text message	текстовое сообщение [tekstovoye soobshcheniye] 
Headache	головная боль        [golovnaya bol'] 
Tree	дерево [derevo] 
Pillow	подушка [podushka] 
Read	читать [chitat] 
Table	стол [stol] 
Channel	канал [kanal] 
Change the channel	переключить канал [pereklyuchit' kanal] 
Face	лицо [litso] 
Rhinoceros	носорог [nosorog] 
Lift up	поднимать [podnimat'] 
